"room_type","Count","Mean","SD","SE","Lower95","Upper95"
"Entire Home/Apt",2501,414.000175929628,324.608423338842,6.4908704224838,401.272141498841,426.728210360415
"Hotel Room",95,844.889473684211,647.899171574031,66.4730524368861,712.905669818345,976.873277550076
"Private Room",1094,160.190155393053,156.383566653242,4.72805427040577,150.913066253326,169.46724453278
"Shared Room",3,145.5,32.7986280200864,18.9362967164473,64.0236912416322,226.976308758368
