"term","estimate","std.error","statistic","p.value"
"(Intercept)",-121.664368648349,60.2851642218012,-2.01814775191988,0.0436627772288538
"accommodates",36.4740891486965,3.71606284213648,9.81525089810548,2.06245062965112e-22
"bedrooms",49.5980178950755,7.83264001243917,6.33222231792957,2.7695650528261e-10
"beds",14.940565617352,5.02426059157136,2.97368445466704,0.00296539819597732
"review_scores_rating",48.1407253584193,12.644039280695,3.80738498906128,0.000143192541977778
"occupancy_rate",52.5260550215344,15.8768077931915,3.30835113114233,0.000949303722086623
"total_reviews",-0.00903618636293177,0.039039538287525,-0.231462429098944,0.816971010656086
"room_typeHotel Room",363.431836153067,40.0896429937496,9.0654794858046,2.15894744878207e-19
"room_typePrivate Room",-108.458490805056,10.4585394509556,-10.3703286021592,8.64835483713662e-25
"room_typeShared Room",-70.3598590490899,137.452300991825,-0.51188563990118,0.608767903122828
